tentativa_id,pedido_id,dia,horario,metodo,status,valor,canal,codigo_erro
"19-0027","19-0027","2026-09-19","08:15:00","cartao","aprovado","100","web",""
"19-0028","19-0028","2026-09-19","08:16:00","cartao","aprovado","100","app",""
"19-0029","19-0029","2026-09-19","08:16:00","cartao","aprovado","100","web",""
"19-0030","19-0030","2026-09-19","08:17:00","cartao","aprovado","100","app",""
"19-0031","19-0031","2026-09-19","08:18:00","cartao","aprovado","100","web",""
"19-0032","19-0032","2026-09-19","08:18:00","cartao","aprovado","100","app",""
"19-0033","19-0033","2026-09-19","08:19:00","cartao","aprovado","100","web",""
"19-0034","19-0034","2026-09-19","08:19:00","cartao","aprovado","100","app",""
"19-0035","19-0035","2026-09-19","08:20:00","cartao","aprovado","100","web",""
"19-0036","19-0036","2026-09-19","08:21:00","cartao","aprovado","100","app",""
"19-0037","19-0037","2026-09-19","08:21:00","cartao","aprovado","100","web",""
"19-0038","19-0038","2026-09-19","08:22:00","cartao","aprovado","100","app",""
"19-0039","19-0039","2026-09-19","08:22:00","cartao","aprovado","100","web",""
"19-0040","19-0040","2026-09-19","08:23:00","cartao","aprovado","100","app",""
"19-0041","19-0041","2026-09-19","08:24:00","cartao","aprovado","100","web",""
"19-0042","19-0042","2026-09-19","08:24:00","cartao","aprovado","100","app",""
"19-0043","19-0043","2026-09-19","08:25:00","cartao","aprovado","100","web",""
"19-0044","19-0044","2026-09-19","08:25:00","cartao","aprovado","100","app",""
"19-0045","19-0045","2026-09-19","08:26:00","cartao","aprovado","100","web",""
"19-0046","19-0046","2026-09-19","08:27:00","cartao","aprovado","100","app",""
"19-0047","19-0047","2026-09-19","08:27:00","cartao","aprovado","100","web",""
"19-0048","19-0048","2026-09-19","08:28:00","cartao","aprovado","100","app",""
"19-0049","19-0049","2026-09-19","08:28:00","cartao","aprovado","100","web",""
"19-0050","19-0050","2026-09-19","08:29:00","cartao","aprovado","100","app",""
"19-0051","19-0051","2026-09-19","08:30:00","cartao","aprovado","100","web",""
"19-0052","19-0052","2026-09-19","08:30:00","cartao","aprovado","100","app",""
"19-0053","19-0053","2026-09-19","08:31:00","cartao","aprovado","100","web",""
"19-0054","19-0054","2026-09-19","08:31:00","cartao","aprovado","100","app",""
"19-0055","19-0055","2026-09-19","08:32:00","cartao","aprovado","100","web",""
"19-0056","19-0056","2026-09-19","08:33:00","cartao","aprovado","100","app",""
"19-0057","19-0057","2026-09-19","08:33:00","cartao","aprovado","100","web",""
"19-0058","19-0058","2026-09-19","08:34:00","cartao","aprovado","100","app",""
"19-0059","19-0059","2026-09-19","08:34:00","cartao","aprovado","100","web",""
"19-0060","19-0060","2026-09-19","08:35:00","cartao","aprovado","100","app",""
"19-0061","19-0061","2026-09-19","08:36:00","cartao","aprovado","100","web",""
"19-0062","19-0062","2026-09-19","08:36:00","cartao","aprovado","100","app",""
"19-0063","19-0063","2026-09-19","08:37:00","cartao","aprovado","100","web",""
"19-0064","19-0064","2026-09-19","08:37:00","cartao","aprovado","100","app",""
"19-0065","19-0065","2026-09-19","08:38:00","cartao","aprovado","100","web",""
"19-0066","19-0066","2026-09-19","08:39:00","cartao","aprovado","100","app",""
"19-0067","19-0067","2026-09-19","08:39:00","cartao","aprovado","100","web",""
"19-0068","19-0068","2026-09-19","08:40:00","cartao","aprovado","100","app",""
"19-0069","19-0069","2026-09-19","08:40:00","cartao","aprovado","100","web",""
"19-0070","19-0070","2026-09-19","08:41:00","cartao","aprovado","100","app",""
"19-0071","19-0071","2026-09-19","08:42:00","cartao","aprovado","100","web",""
"19-0072","19-0072","2026-09-19","08:42:00","cartao","aprovado","100","app",""
"19-0073","19-0073","2026-09-19","08:43:00","cartao","aprovado","100","web",""
"19-0074","19-0074","2026-09-19","08:43:00","cartao","aprovado","100","app",""
"19-0075","19-0075","2026-09-19","08:44:00","cartao","aprovado","100","web",""
"19-0076","19-0076","2026-09-19","08:45:00","cartao","aprovado","100","app",""
"19-0077","19-0077","2026-09-19","08:45:00","cartao","aprovado","100","web",""
"19-0078","19-0078","2026-09-19","08:46:00","cartao","aprovado","100","app",""
"19-0079","19-0079","2026-09-19","08:46:00","cartao","aprovado","100","web",""
"19-0080","19-0080","2026-09-19","08:47:00","cartao","aprovado","100","app",""
"19-0081","19-0081","2026-09-19","08:48:00","cartao","aprovado","100","web",""
"19-0082","19-0082","2026-09-19","08:48:00","cartao","aprovado","100","app",""
"19-0083","19-0083","2026-09-19","08:49:00","cartao","aprovado","100","web",""
"19-0084","19-0084","2026-09-19","08:49:00","cartao","aprovado","100","app",""
"19-0085","19-0085","2026-09-19","08:50:00","cartao","aprovado","100","web",""
"19-0086","19-0086","2026-09-19","08:51:00","cartao","aprovado","100","app",""
"19-0087","19-0087","2026-09-19","08:51:00","cartao","aprovado","100","web",""
"19-0088","19-0088","2026-09-19","08:52:00","cartao","aprovado","100","app",""
"19-0089","19-0089","2026-09-19","08:52:00","cartao","aprovado","100","web",""
"19-0090","19-0090","2026-09-19","08:53:00","cartao","aprovado","100","app",""
"19-0091","19-0091","2026-09-19","08:54:00","cartao","aprovado","100","web",""
"19-0092","19-0092","2026-09-19","08:54:00","cartao","aprovado","100","app",""
"19-0093","19-0093","2026-09-19","08:55:00","cartao","aprovado","100","web",""
"19-0094","19-0094","2026-09-19","08:55:00","cartao","aprovado","100","app",""
"19-0095","19-0095","2026-09-19","08:56:00","cartao","aprovado","100","web",""
"19-0096","19-0096","2026-09-19","08:57:00","cartao","aprovado","100","app",""
"19-0097","19-0097","2026-09-19","08:57:00","cartao","aprovado","100","web",""
"19-0098","19-0098","2026-09-19","08:58:00","cartao","aprovado","100","app",""
"19-0099","19-0099","2026-09-19","08:58:00","cartao","aprovado","100","web",""
"19-0100","19-0100","2026-09-19","08:59:00","cartao","aprovado","100","app",""
"19-0101","19-0101","2026-09-19","09:00:00","cartao","aprovado","100","web",""
"19-0102","19-0102","2026-09-19","09:00:00","cartao","aprovado","100","app",""
"19-0103","19-0103","2026-09-19","09:01:00","cartao","aprovado","100","web",""
"19-0104","19-0104","2026-09-19","09:01:00","cartao","aprovado","100","app",""
"19-0105","19-0105","2026-09-19","09:02:00","cartao","aprovado","100","web",""
"19-0106","19-0106","2026-09-19","09:03:00","cartao","aprovado","100","app",""
"19-0107","19-0107","2026-09-19","09:03:00","cartao","aprovado","100","web",""
"19-0108","19-0108","2026-09-19","09:04:00","cartao","aprovado","100","app",""
"19-0109","19-0109","2026-09-19","09:04:00","cartao","aprovado","100","web",""
"19-0110","19-0110","2026-09-19","09:05:00","cartao","aprovado","100","app",""
"19-0111","19-0111","2026-09-19","09:06:00","cartao","aprovado","100","web",""
"19-0112","19-0112","2026-09-19","09:06:00","cartao","aprovado","100","app",""
"19-0113","19-0113","2026-09-19","09:07:00","cartao","aprovado","100","web",""
"19-0114","19-0114","2026-09-19","09:07:00","cartao","aprovado","100","app",""
"19-0115","19-0115","2026-09-19","09:08:00","cartao","aprovado","100","web",""
"19-0116","19-0116","2026-09-19","09:09:00","cartao","aprovado","100","app",""
"19-0117","19-0117","2026-09-19","09:09:00","cartao","aprovado","100","web",""
"19-0118","19-0118","2026-09-19","09:10:00","cartao","aprovado","100","app",""
"19-0119","19-0119","2026-09-19","09:10:00","cartao","aprovado","100","web",""
"19-0120","19-0120","2026-09-19","09:11:00","cartao","aprovado","100","app",""
"19-0121","19-0121","2026-09-19","09:12:00","cartao","aprovado","100","web",""
"19-0122","19-0122","2026-09-19","09:12:00","cartao","aprovado","100","app",""
"19-0123","19-0123","2026-09-19","09:13:00","cartao","aprovado","100","web",""
"19-0124","19-0124","2026-09-19","09:13:00","cartao","aprovado","100","app",""
"19-0125","19-0125","2026-09-19","09:14:00","cartao","aprovado","100","web",""
"19-0126","19-0126","2026-09-19","09:15:00","cartao","aprovado","100","app",""
"19-0127","19-0127","2026-09-19","09:15:00","cartao","aprovado","100","web",""
"19-0128","19-0128","2026-09-19","09:16:00","cartao","aprovado","100","app",""
"19-0129","19-0129","2026-09-19","09:16:00","cartao","aprovado","100","web",""
"19-0130","19-0130","2026-09-19","09:17:00","cartao","aprovado","100","app",""
"19-0131","19-0131","2026-09-19","09:18:00","cartao","aprovado","100","web",""
"19-0132","19-0132","2026-09-19","09:18:00","cartao","aprovado","100","app",""
"19-0133","19-0133","2026-09-19","09:19:00","cartao","aprovado","100","web",""
"19-0134","19-0134","2026-09-19","09:19:00","cartao","aprovado","100","app",""
"19-0135","19-0135","2026-09-19","09:20:00","cartao","aprovado","100","web",""
"19-0136","19-0136","2026-09-19","09:21:00","cartao","aprovado","100","app",""
"19-0137","19-0137","2026-09-19","09:21:00","cartao","aprovado","100","web",""
"19-0138","19-0138","2026-09-19","09:22:00","cartao","aprovado","100","app",""
"19-0139","19-0139","2026-09-19","09:22:00","cartao","aprovado","100","web",""
"19-0140","19-0140","2026-09-19","09:23:00","cartao","aprovado","100","app",""
"19-0141","19-0141","2026-09-19","09:24:00","cartao","aprovado","100","web",""
"19-0142","19-0142","2026-09-19","09:24:00","cartao","aprovado","100","app",""
"19-0143","19-0143","2026-09-19","09:25:00","cartao","aprovado","100","web",""
"19-0144","19-0144","2026-09-19","09:25:00","cartao","aprovado","100","app",""
"19-0145","19-0145","2026-09-19","09:26:00","cartao","aprovado","100","web",""
"19-0146","19-0146","2026-09-19","09:27:00","cartao","aprovado","100","app",""
"19-0147","19-0147","2026-09-19","09:27:00","cartao","aprovado","100","web",""
"19-0148","19-0148","2026-09-19","09:28:00","cartao","aprovado","100","app",""
"19-0149","19-0149","2026-09-19","09:28:00","cartao","aprovado","100","web",""
"19-0150","19-0150","2026-09-19","09:29:00","cartao","aprovado","100","app",""
"19-0151","19-0151","2026-09-19","09:30:00","cartao","aprovado","100","web",""
"19-0152","19-0152","2026-09-19","09:30:00","cartao","aprovado","100","app",""
"19-0153","19-0153","2026-09-19","09:31:00","cartao","aprovado","100","web",""
"19-0154","19-0154","2026-09-19","09:31:00","cartao","aprovado","100","app",""
"19-0155","19-0155","2026-09-19","09:32:00","cartao","aprovado","100","web",""
"19-0156","19-0156","2026-09-19","09:33:00","cartao","aprovado","100","app",""
"19-0157","19-0157","2026-09-19","09:33:00","cartao","aprovado","100","web",""
"19-0158","19-0158","2026-09-19","09:34:00","cartao","aprovado","100","app",""
"19-0159","19-0159","2026-09-19","09:34:00","cartao","aprovado","100","web",""
"19-0160","19-0160","2026-09-19","09:35:00","cartao","aprovado","100","app",""
"19-0161","19-0161","2026-09-19","09:36:00","cartao","aprovado","100","web",""
"19-0162","19-0162","2026-09-19","09:36:00","cartao","aprovado","100","app",""
"19-0163","19-0163","2026-09-19","09:37:00","cartao","aprovado","100","web",""
"19-0164","19-0164","2026-09-19","09:37:00","cartao","aprovado","100","app",""
"19-0165","19-0165","2026-09-19","09:38:00","cartao","aprovado","100","web",""
"19-0166","19-0166","2026-09-19","09:39:00","cartao","aprovado","100","app",""
"19-0167","19-0167","2026-09-19","09:39:00","cartao","aprovado","100","web",""
"19-0168","19-0168","2026-09-19","09:40:00","cartao","aprovado","100","app",""
"19-0169","19-0169","2026-09-19","09:40:00","cartao","aprovado","100","web",""
"19-0170","19-0170","2026-09-19","09:41:00","cartao","aprovado","100","app",""
"19-0171","19-0171","2026-09-19","09:42:00","cartao","aprovado","100","web",""
"19-0172","19-0172","2026-09-19","09:42:00","cartao","aprovado","100","app",""
"19-0173","19-0173","2026-09-19","09:43:00","cartao","aprovado","100","web",""
"19-0174","19-0174","2026-09-19","09:43:00","cartao","aprovado","100","app",""
"19-0175","19-0175","2026-09-19","09:44:00","cartao","aprovado","100","web",""
"19-0176","19-0176","2026-09-19","09:45:00","cartao","aprovado","100","app",""
"19-0177","19-0177","2026-09-19","09:45:00","cartao","aprovado","100","web",""
"19-0178","19-0178","2026-09-19","09:46:00","cartao","aprovado","100","app",""
"19-0179","19-0179","2026-09-19","09:46:00","cartao","aprovado","100","web",""
"19-0180","19-0180","2026-09-19","09:47:00","cartao","aprovado","100","app",""
"19-0181","19-0181","2026-09-19","09:48:00","cartao","aprovado","100","web",""
"19-0182","19-0182","2026-09-19","09:48:00","cartao","aprovado","100","app",""
"19-0183","19-0183","2026-09-19","09:49:00","cartao","aprovado","100","web",""
"19-0184","19-0184","2026-09-19","09:49:00","cartao","aprovado","100","app",""
"19-0185","19-0185","2026-09-19","09:50:00","cartao","aprovado","100","web",""
"19-0186","19-0186","2026-09-19","09:51:00","cartao","aprovado","100","app",""
"19-0187","19-0187","2026-09-19","09:51:00","cartao","aprovado","100","web",""
"19-0188","19-0188","2026-09-19","09:52:00","cartao","aprovado","100","app",""
"19-0189","19-0189","2026-09-19","09:52:00","cartao","aprovado","100","web",""
"19-0190","19-0190","2026-09-19","09:53:00","cartao","aprovado","100","app",""
"19-0191","19-0191","2026-09-19","09:54:00","cartao","aprovado","100","web",""
"19-0192","19-0192","2026-09-19","09:54:00","cartao","aprovado","100","app",""
"19-0193","19-0193","2026-09-19","09:55:00","cartao","aprovado","100","web",""
"19-0194","19-0194","2026-09-19","09:55:00","cartao","aprovado","100","app",""
"19-0195","19-0195","2026-09-19","09:56:00","cartao","aprovado","100","web",""
"19-0196","19-0196","2026-09-19","09:57:00","cartao","aprovado","100","app",""
"19-0197","19-0197","2026-09-19","09:57:00","cartao","aprovado","100","web",""
"19-0198","19-0198","2026-09-19","09:58:00","cartao","aprovado","100","app",""
"19-0199","19-0199","2026-09-19","09:58:00","cartao","aprovado","100","web",""
"19-0200","19-0200","2026-09-19","09:59:00","cartao","aprovado","100","app",""
"19-0201","19-0201","2026-09-19","10:00:00","cartao","aprovado","100","web",""
"19-0202","19-0202","2026-09-19","10:00:00","cartao","aprovado","100","app",""
"19-0203","19-0203","2026-09-19","10:01:00","cartao","aprovado","100","web",""
"19-0204","19-0204","2026-09-19","10:01:00","cartao","aprovado","100","app",""
"19-0205","19-0205","2026-09-19","10:02:00","cartao","aprovado","100","web",""
"19-0206","19-0206","2026-09-19","10:03:00","cartao","aprovado","100","app",""
"19-0207","19-0207","2026-09-19","10:03:00","cartao","aprovado","100","web",""
"19-0208","19-0208","2026-09-19","10:04:00","cartao","aprovado","100","app",""
"19-0209","19-0209","2026-09-19","10:04:00","cartao","aprovado","100","web",""
"19-0210","19-0210","2026-09-19","10:05:00","cartao","aprovado","100","app",""
"19-0211","19-0211","2026-09-19","10:06:00","cartao","aprovado","100","web",""
"19-0212","19-0212","2026-09-19","10:06:00","cartao","aprovado","100","app",""
"19-0213","19-0213","2026-09-19","10:07:00","cartao","aprovado","100","web",""
"19-0214","19-0214","2026-09-19","10:07:00","cartao","aprovado","100","app",""
"19-0215","19-0215","2026-09-19","10:08:00","cartao","aprovado","100","web",""
"19-0216","19-0216","2026-09-19","10:09:00","cartao","aprovado","100","app",""
"19-0217","19-0217","2026-09-19","10:09:00","cartao","aprovado","100","web",""
"19-0218","19-0218","2026-09-19","10:10:00","cartao","aprovado","100","app",""
"19-0219","19-0219","2026-09-19","10:10:00","cartao","aprovado","100","web",""
"19-0220","19-0220","2026-09-19","10:11:00","cartao","aprovado","100","app",""
"19-0221","19-0221","2026-09-19","10:12:00","cartao","aprovado","100","web",""
"19-0222","19-0222","2026-09-19","10:12:00","cartao","aprovado","100","app",""
"19-0223","19-0223","2026-09-19","10:13:00","cartao","aprovado","100","web",""
"19-0224","19-0224","2026-09-19","10:13:00","cartao","aprovado","100","app",""
"19-0225","19-0225","2026-09-19","10:14:00","cartao","aprovado","100","web",""
"19-0226","19-0226","2026-09-19","10:15:00","cartao","aprovado","100","app",""
"19-0227","19-0227","2026-09-19","10:15:00","cartao","aprovado","100","web",""
"19-0228","19-0228","2026-09-19","10:16:00","cartao","aprovado","100","app",""
"19-0229","19-0229","2026-09-19","10:16:00","cartao","aprovado","100","web",""
"19-0230","19-0230","2026-09-19","10:17:00","cartao","aprovado","100","app",""
"19-0231","19-0231","2026-09-19","10:18:00","cartao","aprovado","100","web",""
"19-0232","19-0232","2026-09-19","10:18:00","cartao","aprovado","100","app",""
"19-0233","19-0233","2026-09-19","10:19:00","cartao","aprovado","100","web",""
"19-0234","19-0234","2026-09-19","10:19:00","cartao","aprovado","100","app",""
"19-0235","19-0235","2026-09-19","10:20:00","cartao","aprovado","100","web",""
"19-0236","19-0236","2026-09-19","10:21:00","cartao","aprovado","100","app",""
"19-0237","19-0237","2026-09-19","10:21:00","cartao","aprovado","100","web",""
"19-0238","19-0238","2026-09-19","10:22:00","cartao","aprovado","100","app",""
"19-0239","19-0239","2026-09-19","10:22:00","cartao","aprovado","100","web",""
"19-0240","19-0240","2026-09-19","10:23:00","cartao","aprovado","100","app",""
"19-0241","19-0241","2026-09-19","10:24:00","cartao","aprovado","100","web",""
"19-0242","19-0242","2026-09-19","10:24:00","cartao","aprovado","100","app",""
"19-0243","19-0243","2026-09-19","10:25:00","cartao","aprovado","100","web",""
"19-0244","19-0244","2026-09-19","10:25:00","cartao","aprovado","100","app",""
"19-0245","19-0245","2026-09-19","10:26:00","cartao","aprovado","100","web",""
"19-0246","19-0246","2026-09-19","10:27:00","cartao","aprovado","100","app",""
"19-0247","19-0247","2026-09-19","10:27:00","cartao","aprovado","100","web",""
"19-0248","19-0248","2026-09-19","10:28:00","cartao","aprovado","100","app",""
"19-0249","19-0249","2026-09-19","10:28:00","cartao","aprovado","100","web",""
"19-0250","19-0250","2026-09-19","10:29:00","cartao","aprovado","100","app",""
"19-0251","19-0251","2026-09-19","10:30:00","cartao","aprovado","100","web",""
"19-0252","19-0252","2026-09-19","10:30:00","cartao","aprovado","100","app",""
"19-0253","19-0253","2026-09-19","10:31:00","cartao","aprovado","100","web",""
"19-0254","19-0254","2026-09-19","10:31:00","cartao","aprovado","100","app",""
"19-0255","19-0255","2026-09-19","10:32:00","cartao","aprovado","100","web",""
"19-0256","19-0256","2026-09-19","10:33:00","cartao","aprovado","100","app",""
"19-0257","19-0257","2026-09-19","10:33:00","cartao","aprovado","100","web",""
"19-0258","19-0258","2026-09-19","10:34:00","cartao","aprovado","100","app",""
"19-0259","19-0259","2026-09-19","10:34:00","cartao","aprovado","100","web",""
"19-0260","19-0260","2026-09-19","10:35:00","cartao","aprovado","100","app",""
"19-0261","19-0261","2026-09-19","10:36:00","cartao","aprovado","100","web",""
"19-0262","19-0262","2026-09-19","10:36:00","cartao","aprovado","100","app",""
"19-0263","19-0263","2026-09-19","10:37:00","cartao","aprovado","100","web",""
"19-0264","19-0264","2026-09-19","10:37:00","cartao","aprovado","100","app",""
"19-0265","19-0265","2026-09-19","10:38:00","cartao","aprovado","100","web",""
"19-0266","19-0266","2026-09-19","10:39:00","cartao","aprovado","100","app",""
"19-0267","19-0267","2026-09-19","10:39:00","cartao","aprovado","100","web",""
"19-0268","19-0268","2026-09-19","10:40:00","cartao","aprovado","100","app",""
"19-0269","19-0269","2026-09-19","10:40:00","cartao","aprovado","100","web",""
"19-0270","19-0270","2026-09-19","10:41:00","cartao","aprovado","100","app",""
"19-0271","19-0271","2026-09-19","10:42:00","cartao","aprovado","100","web",""
"19-0272","19-0272","2026-09-19","10:42:00","cartao","aprovado","100","app",""
"19-0273","19-0273","2026-09-19","10:43:00","cartao","aprovado","100","web",""
"19-0274","19-0274","2026-09-19","10:43:00","cartao","aprovado","100","app",""
"19-0275","19-0275","2026-09-19","10:44:00","cartao","aprovado","100","web",""
"19-0276","19-0276","2026-09-19","10:45:00","cartao","aprovado","100","app",""
"19-0277","19-0277","2026-09-19","10:45:00","cartao","aprovado","100","web",""
"19-0278","19-0278","2026-09-19","10:46:00","cartao","aprovado","100","app",""
"19-0279","19-0279","2026-09-19","10:46:00","cartao","aprovado","100","web",""
"19-0280","19-0280","2026-09-19","10:47:00","cartao","aprovado","100","app",""
"19-0281","19-0281","2026-09-19","10:48:00","cartao","aprovado","100","web",""
"19-0282","19-0282","2026-09-19","10:48:00","cartao","aprovado","100","app",""
"19-0283","19-0283","2026-09-19","10:49:00","cartao","aprovado","100","web",""
"19-0284","19-0284","2026-09-19","10:49:00","cartao","aprovado","100","app",""
"19-0285","19-0285","2026-09-19","10:50:00","cartao","aprovado","100","web",""
"19-0286","19-0286","2026-09-19","10:51:00","cartao","aprovado","100","app",""
"19-0287","19-0287","2026-09-19","10:51:00","cartao","aprovado","100","web",""
"19-0288","19-0288","2026-09-19","10:52:00","cartao","aprovado","100","app",""
"19-0289","19-0289","2026-09-19","10:52:00","cartao","aprovado","100","web",""
"19-0290","19-0290","2026-09-19","10:53:00","cartao","aprovado","100","app",""
"19-0291","19-0291","2026-09-19","10:54:00","cartao","aprovado","100","web",""
"19-0292","19-0292","2026-09-19","10:54:00","cartao","aprovado","100","app",""
"19-0293","19-0293","2026-09-19","10:55:00","cartao","aprovado","100","web",""
"19-0294","19-0294","2026-09-19","10:55:00","cartao","aprovado","100","app",""
"19-0295","19-0295","2026-09-19","10:56:00","cartao","aprovado","100","web",""
"19-0296","19-0296","2026-09-19","10:57:00","cartao","aprovado","100","app",""
"19-0297","19-0297","2026-09-19","10:57:00","cartao","aprovado","100","web",""
"19-0298","19-0298","2026-09-19","10:58:00","cartao","aprovado","100","app",""
"19-0299","19-0299","2026-09-19","10:58:00","cartao","aprovado","100","web",""
"19-0300","19-0300","2026-09-19","10:59:00","cartao","aprovado","100","app",""
"19-0301","19-0301","2026-09-19","11:00:00","cartao","aprovado","100","web",""
"19-0302","19-0302","2026-09-19","11:00:00","cartao","aprovado","100","app",""
"19-0303","19-0303","2026-09-19","11:01:00","cartao","aprovado","100","web",""
"19-0304","19-0304","2026-09-19","11:01:00","cartao","aprovado","100","app",""
"19-0305","19-0305","2026-09-19","11:02:00","cartao","aprovado","100","web",""
"19-0306","19-0306","2026-09-19","11:03:00","cartao","aprovado","100","app",""
"19-0307","19-0307","2026-09-19","11:03:00","cartao","aprovado","100","web",""
"19-0308","19-0308","2026-09-19","11:04:00","cartao","aprovado","100","app",""
"19-0309","19-0309","2026-09-19","11:04:00","cartao","aprovado","100","web",""
"19-0310","19-0310","2026-09-19","11:05:00","cartao","aprovado","100","app",""
"19-0311","19-0311","2026-09-19","11:06:00","cartao","aprovado","100","web",""
"19-0312","19-0312","2026-09-19","11:06:00","cartao","aprovado","100","app",""
"19-0313","19-0313","2026-09-19","11:07:00","cartao","aprovado","100","web",""
"19-0314","19-0314","2026-09-19","11:07:00","cartao","aprovado","100","app",""
"19-0315","19-0315","2026-09-19","11:08:00","cartao","aprovado","100","web",""
"19-0316","19-0316","2026-09-19","11:09:00","cartao","aprovado","100","app",""
"19-0317","19-0317","2026-09-19","11:09:00","cartao","aprovado","100","web",""
"19-0318","19-0318","2026-09-19","11:10:00","cartao","aprovado","100","app",""
"19-0319","19-0319","2026-09-19","11:10:00","cartao","aprovado","100","web",""
"19-0320","19-0320","2026-09-19","11:11:00","cartao","aprovado","100","app",""
"19-0321","19-0321","2026-09-19","11:12:00","cartao","aprovado","100","web",""
"19-0322","19-0322","2026-09-19","11:12:00","cartao","aprovado","100","app",""
"19-0323","19-0323","2026-09-19","11:13:00","cartao","aprovado","100","web",""
"19-0324","19-0324","2026-09-19","11:13:00","cartao","aprovado","100","app",""
"19-0325","19-0325","2026-09-19","11:14:00","cartao","aprovado","100","web",""
"19-0326","19-0326","2026-09-19","11:15:00","cartao","aprovado","100","app",""
"19-0327","19-0327","2026-09-19","11:15:00","cartao","aprovado","100","web",""
"19-0328","19-0328","2026-09-19","11:16:00","cartao","aprovado","100","app",""
"19-0329","19-0329","2026-09-19","11:16:00","cartao","aprovado","100","web",""
"19-0330","19-0330","2026-09-19","11:17:00","cartao","aprovado","100","app",""
"19-0331","19-0331","2026-09-19","11:18:00","cartao","aprovado","100","web",""
"19-0332","19-0332","2026-09-19","11:18:00","cartao","aprovado","100","app",""
"19-0333","19-0333","2026-09-19","11:19:00","cartao","aprovado","100","web",""
"19-0334","19-0334","2026-09-19","11:19:00","cartao","aprovado","100","app",""
"19-0335","19-0335","2026-09-19","11:20:00","cartao","aprovado","100","web",""
"19-0336","19-0336","2026-09-19","11:21:00","cartao","aprovado","100","app",""
"19-0337","19-0337","2026-09-19","11:21:00","cartao","aprovado","100","web",""
"19-0338","19-0338","2026-09-19","11:22:00","cartao","aprovado","100","app",""
"19-0339","19-0339","2026-09-19","11:22:00","cartao","aprovado","100","web",""
"19-0340","19-0340","2026-09-19","11:23:00","cartao","aprovado","100","app",""
"19-0341","19-0341","2026-09-19","11:24:00","cartao","aprovado","100","web",""
"19-0342","19-0342","2026-09-19","11:24:00","cartao","aprovado","100","app",""
"19-0343","19-0343","2026-09-19","11:25:00","cartao","aprovado","100","web",""
"19-0344","19-0344","2026-09-19","11:25:00","cartao","aprovado","100","app",""
"19-0345","19-0345","2026-09-19","11:26:00","cartao","aprovado","100","web",""
"19-0346","19-0346","2026-09-19","11:27:00","cartao","aprovado","100","app",""
"19-0347","19-0347","2026-09-19","11:27:00","cartao","aprovado","100","web",""
"19-0348","19-0348","2026-09-19","11:28:00","cartao","aprovado","100","app",""
"19-0349","19-0349","2026-09-19","11:28:00","cartao","aprovado","100","web",""
"19-0350","19-0350","2026-09-19","11:29:00","cartao","aprovado","100","app",""
"19-0351","19-0351","2026-09-19","11:30:00","cartao","aprovado","100","web",""
"19-0352","19-0352","2026-09-19","11:30:00","cartao","aprovado","100","app",""
"19-0353","19-0353","2026-09-19","11:31:00","cartao","aprovado","100","web",""
"19-0354","19-0354","2026-09-19","11:31:00","cartao","aprovado","100","app",""
"19-0355","19-0355","2026-09-19","11:32:00","cartao","aprovado","100","web",""
"19-0356","19-0356","2026-09-19","11:33:00","cartao","aprovado","100","app",""
"19-0357","19-0357","2026-09-19","11:33:00","cartao","aprovado","100","web",""
